Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bahrain,,,,,,,,,,,,,,,,,,,,,174.716414,193.4508983,216.6966616,224.6774462,229.8526557,223.3955251,182.0067904,157.3439496,145.8141508,148.0326147,135.9591777,131.0766582,124.3453822,130.4927173,125.9780999,120.1361711,119.4537662,127.3248531,130.2192217,126.3782595,129.2234132,133.144453,136.2385804,125.6798013,114.9283167,109.1201516,111.98784,105.0878276,97.8404489,102.4371711,100,93.13211354,95.70253456,97.61554398,98.9170771,105.748608,108.9693212,109.4223426,108.3764114,110.7842575,107.2220958,102.2998301,106.60077,104.426347,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,101.1186375,106.2611919,109.1686495,112.4335283,115.6578056,118.1222607,114.2823235,111.9065344,110.6912607,112.7965371,109.3811077,112.7677214,115.6384393,118.1618968,113.5433211,106.8982763,107.2271219,111.7165524,118.0573429,115.210205,117.1053135,120.4938485,119.0912787,113.0385056,105.9762611,102.0529121,101.0697004,99.417527,98.40564813,101.0854535,100,99.33985249,99.26579745,98.70422698,99.02989835,102.2595243,101.2822105,100.8621233,100.4784456,102.0980619,101.4678034,99.77972963,99.10330247,98.63811868,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,110.8522306,118.570937,121.570097,125.7012891,130.819283,141.2473656,126.8931093,117.8585293,115.3283594,115.88853,109.9323921,106.5012739,103.2275115,105.0135233,104.6513322,102.6346862,106.8080943,108.3310359,111.7449954,112.4694015,114.1956405,115.2473651,114.6904749,111.8987868,108.4104311,105.926438,106.4450734,101.2499716,99.83981249,102.6007762,100,95.36931644,96.98072383,95.48693666,96.44210332,102.8550178,105.0073321,104.8432958,103.5554171,103.9844612,104.3985481,101.9506991,104.8511264,105.044106,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,174.0867771,221.2858601,239.4074251,223.5638094,295.4646303,503.0063495,147.5606753,139.8558962,133.6187942,128.8195785,106.3320076,110.528119,108.6811681,107.5717884,102.6124653,99.85117713,104.4491338,106.7424487,111.6222554,114.9407556,113.0912517,111.1241237,109.5097031,98.57290533,92.14254119,87.06871291,85.49863015,86.66875597,97.22946775,105.9526782,100,102.2851946,106.657151,112.2711481,120.1297858,137.6291009,143.4560422,140.7579897,144.1290801,150.776202,158.9943209,152.4456693,151.1305532,148.800844,
Brazil,,,,,,,,,,,,,,,,,,,,,84.30795493,98.02165281,106.3271147,81.54323744,72.83273443,70.3924644,67.37625462,69.88400283,69.71677889,93.7375425,114.6108691,96.26517006,84.45375922,88.80419614,92.74109259,101.5037365,107.0688874,109.8406496,106.7613408,70.97277535,76.52776752,63.9074742,60.90323882,57.57659944,60.44651117,73.46353654,81.71682663,87.42965749,90.35583488,89.17468147,100,103.1662354,91.98734741,86.41089402,84.59208574,69.6111775,73.23776135,79.73197621,71.41910543,70.00814984,55.58545286,53.79144321,60.36191522,63.32874318,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,203.0921991,177.441375,174.540852,179.0580091,168.7534914,179.9137743,188.7866999,174.3743033,160.9459642,154.0565156,155.7833989,144.299108,141.4850199,132.8020067,83.17784453,98.29000594,100.0512166,96.50960061,94.25540133,90.16998979,87.31620522,89.19841806,91.15208094,97.18545026,94.21815529,93.368456,96.73758032,97.72108414,104.3859474,106.6291706,100,98.41061145,97.44716736,105.1909067,119.8690556,112.6437147,118.7588528,122.6401367,126.0083235,125.2470761,127.9114617,130.699907,125.7878782,128.541429,
Canada,,,,,,,,,,,,,,,,,,,,93.976886,92.33613994,96.95544309,103.4845923,108.0891271,106.0544566,102.2980952,92.57302722,92.71444838,97.96928714,104.9623638,103.7449504,106.6838811,97.83707714,91.46390811,83.55606484,80.8308227,81.67317854,80.88911812,76.18736969,75.26091501,75.62972255,73.40802933,72.76696182,80.95549905,85.44268143,90.53859205,95.53451687,98.59465072,95.98591775,91.57478214,100,101.5629689,101.0738954,97.49939316,91.51770712,83.26622305,81.70899235,82.9268763,82.42559204,81.71482097,80.84259797,84.76002554,84.18367083,81.24937962,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,93.08500573,85.70562723,84.99827782,89.96487081,91.43194727,88.55061961,86.88417936,92.70012508,96.24247866,95.04700579,89.70237474,96.04698388,95.38046986,93.63149163,95.67603237,100.1409747,106.7172703,103.5463205,95.35774566,96.58187568,94.74904881,92.30888529,94.6989794,98.09669307,98.38208154,97.36110866,95.48027936,92.8987404,89.04308159,92.52531228,96.08743301,100,109.4715738,105.3407739,103.6185525,104.2562735,110.4779863,108.1574706,106.0988484,103.2271771,104.1880348,108.1843558,105.5193854,105.8305122,109.3040636,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,163.9519994,194.3578662,175.2870231,143.5564091,142.3854043,120.4725003,101.4058504,93.13209687,87.48020684,89.8678322,86.19095393,88.26345863,93.27835004,95.1121341,98.43230622,104.3764747,106.9207172,114.750974,112.7095332,107.3452977,106.4854797,95.92583645,91.65641831,86.20924459,91.03314953,96.31846696,100.1346382,97.50981272,98.26320909,95.13651253,100,100.7041073,102.8908399,101.3534144,91.87215717,90.98521383,92.6351217,95.81335253,97.02957194,92.14098397,84.60777756,87.49690838,84.46464046,91.94308995,
China,,,,,,,,,,,,,,,,,,,,,269.900446,242.2150361,231.0751417,227.1291131,202.4440833,171.8419593,124.1351376,107.2273949,117.1996273,136.3639823,100.5794512,88.34282886,84.58120094,89.99983828,70.55438207,78.63754493,86.36111428,93.00470868,98.01268595,92.68323741,92.75823403,96.76715526,94.56090342,88.38336511,85.85088524,84.92002989,86.25908796,89.32831993,97.00817661,101.1068433,100,102.6938552,108.6697974,114.6537512,118.358519,130.0436724,123.8909594,120.2554561,121.7991952,121.1790673,123.6450327,127.3285049,125.965969,116.0273778,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,132.2087687,113.6340574,103.4663874,96.70912689,96.08005648,96.36190228,115.4198508,128.3582539,131.3444559,124.1790336,126.2149906,121.4132889,126.4899563,124.2095972,76.96059736,88.5094463,88.56922529,86.6470748,92.51987238,91.5443996,86.57329781,89.64828575,93.21317705,99.67976054,100.9235042,101.1262605,100.8942409,102.587627,107.0555683,107.356924,100,102.2004032,97.30901458,100.4620927,100.6942393,93.75956868,94.82666826,95.12770908,96.20562994,92.28242776,95.71970959,97.5929152,92.8331691,96.95012793,
Cameroon,,,,,,,,,,,,,,,,,,,,,137.4299388,126.307326,123.4961869,128.4078648,130.6784816,136.5783157,151.2043585,169.1540618,164.447812,151.7440208,156.2849664,149.1011603,150.0002728,139.5175872,90.25743461,96.98466218,98.01533312,97.02083058,100.4213857,99.36529084,93.6729085,96.83177011,100.318779,103.5447573,102.8952695,99.82858045,101.470227,102.1026582,105.0060251,106.4694766,100,100.2187695,96.43044219,98.94622122,99.75243677,93.53993228,95.5109101,96.33332605,97.7627036,96.75564636,99.71016892,99.84862288,96.80567794,104.9162814,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1390471,339.268578,305.0584942,236.9805535,234.2031628,223.3840117,238.7978302,368.3308829,511.0478176,246.0056836,110.4013885,91.0686237,87.0010197,85.23438884,93.91878979,91.38177492,92.59331389,96.26171993,100,105.4814287,107.2058728,108.0549579,109.4585232,121.6125245,118.3088705,104.1019147,118.0786641,124.7909666,126.2650702,118.3192302,128.5764043,126.9589578,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,136.6397993,147.5619569,157.2196078,156.1286692,145.5619505,127.261028,94.35729753,84.1968424,81.66359348,78.52617586,69.14900832,69.45531568,77.16314062,81.77855224,92.08303812,93.69538708,99.29216073,105.553036,99.07884119,89.8978127,81.43623489,78.87835747,78.67440545,68.96464645,75.21809801,84.79060424,83.09231491,92.33015725,95.44049421,90.44508399,100,100.1545801,105.2948704,101.3366885,95.88230503,77.58140725,74.18485818,77.42177207,78.27501174,73.65661448,67.99677315,65.81558348,62.7413783,66.6771653,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,141.1144122,76.90646219,78.84460728,95.48507947,98.22112563,100.9270172,93.28425731,89.4213141,84.33721915,88.79899388,87.63542074,81.05528922,85.74189151,88.40377149,87.67464008,89.39531562,89.54653215,90.67217788,92.57723895,90.25239563,92.13648805,95.84486447,93.61295857,87.56106694,84.81317261,84.70375209,85.29550381,86.52021518,89.12320288,90.27622207,100,101.8159529,106.1897279,110.5664966,106.4226992,114.7533806,113.968063,108.5370546,106.1206887,106.7468037,107.8645957,97.99356267,99.78819888,114.9625621,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
