Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412121212.1,238000000,140544280.4,-291552888.2,-70480026.75,-505715926.8,-984477822.2,-951353385.8,-1415223572,-636139572.1,94542991.92,238694236.2,-454141482.3,-1712779974,-2077142880,1329883724,5821623043,13092863036,20668678951,12635499880,17789932719,21333036169,19291792094,16430881241,12838832813,1585942899,1051937618,2735372468,7779216325,5917294118,-329058823.5,9150705882,25999705882,10470941176
Burundi,-1750001.998,-3499999.997,-6999999.993,-15749999.98,5249997.995,-3476148.145,-3666285.711,-1934857.141,-5626285.709,-4633142.853,-2262857.141,-14502857.13,-8244571.429,-7050201.341,-19958095.24,-45155555.56,-13122318.84,1665555.556,-51983333.33,-66977777.78,-133201111.1,-124952222.2,-169162222.2,-170043033.9,-118934090.7,-112241235.4,-127291596.7,-180963682.4,-144635190.7,-147013717.4,-225312545.6,-216993753.6,-224489561.4,-166880195.2,-168448010.2,-143580889.9,-86321830.22,-44796367.25,-102252107.3,-67783377.1,-86315511.95,-92989703.14,-101541858.3,-114665348.9,-161731658.4,-253584652.5,-353998271.8,-341762225.3,-422300979.4,-402608915.3,-408459216.7,-567898536.3,-567309538.2,-696588891.8,-692761257.2,-310516329,-271712679.9,-277455738,-406169009.7,-481348606.6,-468322772.2,-522352019.5,-613427663.2,-503767159
Belgium,,,,,,,,,,,583597418.3,581774525.1,1138651819,916582488.1,288928127.6,202501919.5,208368861,-549247045.6,-799154604.8,-2010039901,-3577711408,-2193369187,-1582876567,344979881.7,495069812.9,890002717.6,2687310818,2713639114,3884174438,3607222563,3612875423,3934812758,5983582183,7197266791,8858973957,11089490969,8856286645,9815741994,9409313181,10216533029,6783287644,8634316460,14411205478,17041157540,18069920173,15569789759,16503842056,19473396555,3480542817,9960978144,7194531778,-1174531842,-1422261060,1306071280,1191266653,3166438839,846891571.6,-76479415.65,-7117140449,2519265437,7646774510,11185293386,-8668275170,-3866292231
Benin,-13540909.2,-11668269.63,-15229913.27,-19817885.13,-19172871.45,-22143652.65,-28322049.69,-37072589.94,-31790214.8,-31934690.6,-30976478.39,-33664168.99,-50945765.96,-51891175.45,-84184917.01,-127825139.8,-125973749.6,-139523362,-167380158.9,-231379214.5,-302207754.6,-361879958.7,-282908153.6,-195119123.1,-119330543.9,-135900638.2,-212968995.2,-245034343.6,-296170446.1,-169902128.2,-144205941.2,-185528219,-173980880.6,-237760308.4,-123794026.4,-196617143.9,-83115273.64,-98883444.24,-132765181.4,-307898181,-216041108.1,-312362645.7,-180994316.7,-231496422.1,-178024698.6,-139802467.8,-257367391,-410746118.2,-341975490.5,-472001561.9,-504111169.7,-590028152.7,-327919475.9,-508106994,-319704476.6,-833090755.3,-446050447.9,-897423731.4,-1033558669,-636152533.3,-796396404.4,-1099836449,-1327248762,-1763673881
Burkina Faso,-36274159.08,-36289432.43,-38617084.55,-39756800.56,-35778419.59,-28437026.6,-28622655.64,-40562447.77,-41820409.58,-51250565.02,-48987509.5,-69561866.49,-86148663.77,-112064647.8,-121324217.5,-214340678.5,-183620077.8,-254333289.7,-299283925.5,-367815791.2,-430335723.7,-393503629.1,-411038168.5,-347100404.7,-259813092.1,-327647752.3,-406865692.9,-396291211.3,-422027024.8,-389645013.9,-418342761.6,-404456605.5,-358530194.1,-375049581,-205183784.3,-296639237.5,-441086732.6,-386520160.8,-429811388.9,-628656320.7,-517491007,-432933524.1,-491980036.2,-565449103.8,-747850040.1,-890512831.4,-863789007.1,-997645321.3,-1425906209,-1201943593,-812969199.1,-616850362.8,-1010211749,-1328549694,-691511437.4,-813329644.2,-777861343.8,-897767915.4,-705171478.5,-303549508.3,498773419.8,625157481.3,-254861171,-1442586518
Bangladesh,29472270.83,-44208312.5,-3117229.167,-88983520.83,-220475083.3,-218774791.7,-152462270.8,-238611875,-245129812.5,-298123208.3,-377188145.8,-388240270.8,-506696083.3,-429877226.6,-831762076.3,-1012377603,-1304107178,-515438377.5,-1317974808,-1508080953,-2247061873,-1819522644,-1937075848,-1604040404,-1895720000,-1660461538,-1448600000,-1629838710,-1813076865,-2085202622,-2259239984,-1722661064,-1509549072,-1687195767,-1642094763,-2458582090,-3094229829,-2549601874,-2182026432,-2497212978,-2472788710,-2874981468,-2269650009,-2884974093,-2972345847,-3898472862,-3880557603,-4738256592,-6692430506,-6366300367,-6633666170,-9744203015,-10381901109,-10830906475,-11297725501,-14465532640,-9260953611,-12807430499,-23025820647,-18926257571,-20142051278,-26634920363,-36881921787,-20421363480
Bulgaria,,,,,,,,,,,,,,,,,,,,,995769230.8,221714285.7,206266666.7,34555555.56,331666666.7,-69842105.26,-695823529.4,-516230769.2,-74529411.76,-382111111.1,-744545454.5,467741935.5,-603092783.5,-826266579.7,-60608856.09,1788301499,1373755544,1435862509,1027746629,-623502748,-703095924.9,-1321717593,-1308143333,-2152555373,-2916749888,-4377275618,-5876220044,-8363361092,-10750907363,-4294536402,-1616447502,91404170.52,-1779984891,-312060161.6,-655459856,424885976.9,2653069783,2577965691,1766412052,2288601110,1784936635,2096908145,1009792721,4201285842
Bahrain,,,,,,,,,,,,,,,,,,,,,272486335.9,385638031.9,444947074.5,139361170.2,103191489.4,435638563.8,424202127.7,507712766,660638297.9,425531914.9,886169680.9,-490957712.8,-587234042.6,163563829.8,401329787.2,673670212.8,714627393.6,607713031.9,44414627.66,1052925532,2043882979,1812765957,1331914894,1775797872,2166223404,3109840426,4103191489,4688031915,4955053191,4350797872,4783271277,7102686170,5659813830,5771542553,5520186170,3348670213,2692260638,2855877660,2910372340,4356648936,1952393617,7657180851,11513031915,7970212766
"Bahamas, The",,,,,,,,,,,,,,,,,,117700000,126100000,98800000,100200000,71500000,98400000,148200000,107800000,128100000,146200000,149800000,,-102190000,-56940000,-131180000,-30080000,17730000,-76880000,-184040000,-353010000,-378300000,-574800000,-214300000,-286700000,-362300000,184100000,49400000,38800000,-381300000,-1111500000,-831300000,-888600000,-812500000,-885300000,-1355800000,-857270000,-664960000,-977750000,-92410000,-505800000,-962630000,-570760000,-184710000,-941010000,-1586790000,-567490000,-460640000
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-891000000,-953000000,-1678999934,-1651026264,-2925388653,-3117890451,-2315642577,-2430358885,-2723278028,-3348010828,-3731533555,-4009076556,-3513807380,-4630860957,-6205302368,-4179567594,-3706156263,-4430690998,-4038640464,-3716745585,-4189456026,-2962992631,-2811731827,-2931680356,-2962601351,-2956866462,-2780732337,-2684311741,-3334693324,-3243204328
