Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Costa Rica,-24821247.98,-20571792.04,-15939609.93,-25804123.25,-22510939.69,-63003773.58,-38792452.83,-44332075.47,-36286792.45,-45720754.72,-66415094.34,-111065280.4,-78975131.88,-92857299.75,-249609079.4,-166394399.1,-144795799.3,-167934655.8,-276581096.8,-414469078.2,-499626604.4,-128771636.2,76088040.67,-23463183.96,15024920.01,-68700990.1,37374551.97,-187400031.9,-82456788.49,-203773887.3,-394370766.9,-333905015.6,-474694752,-696116695.5,-653310224.2,-407097069,-471011644.1,-554419528.8,-562743014.1,-345378625.4,-99732414.74,26262639.95,-325752924.2,-342720382.8,-156546791,-459656017.8,-723827148,-1422824615,-2707039577,-152101407.9,-697914717.1,-1579738508,-1769252765,-1468935948,-1282418519,-430226402.3,201088754.1,274387342.5,331875243.4,1861743535,2291858835,1020579611,1788465707,4635653893
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,-657873400,-799136000,-940170199.4,-1153937033,-1318322927,-1505098537,-1594581973,-1641618313,-2058740779,-2268138219,-2295740833,-2340543976,-2412947059,-2541022934,-2837376779,-2582425265,-2918851692,-2777825258,-3043123879,-3675379469,-3046844016,-1734684045,-289398378.4,-565312297.3,-368823783.8,-762386442,-500000000,-737200000,-1029300000,-792500000,-860700000,-916300000,-562700000,-245300000,279700000,1140600000,116666666.7,1467870370,-2129351852,1152777778,2887962963,2240000000,3771000000,2991000000,3947000000,2336000000,2464000000,2789000000,1963000000,1661000000,702000000,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373240223.5,-436815642.5,-631396648,-787877095,-669497206.7,-969608938.5,-789720670.4,-652122905,-540223463.7,-382290502.8,-346424581,-395083798.9,-623463687.2,-876648044.7,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581246325,1441085764,1432205729,780123120.5,,,
Cyprus,,,,,,,,,,,,,,,,-103891864.7,-74189531.14,-146593060,-198514944.8,-245953679.6,-383656053.1,-272852022.3,-287575955.6,-293066073.4,-283460817.5,-245304030.7,-104639774,-110507551.8,-232172647.4,-383980236.7,-313499103.7,-577516161.6,-772991786.2,-28577267.37,-29493690.48,-85815006.47,-43416562.11,-132882554.2,254701357.5,277522114.3,242730443,475042805.1,133534615.4,221064552.7,-21478750,-98222857.85,-589110525.7,-1140231317,-3553683902,-1392689669,-2124018141,-1025213874,-447725795.2,399403674.9,245973313.1,549133691.9,409565418.6,-78109502.19,360221688.7,264996484.8,-351180917.1,1423848070,997277870,423835474.2
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956409792.2,1667315975,419451291.1,459947518.3,-543925829.4,-1843896006,-3255603201,-2574782483,-208976122.3,-311896138.8,-1152699149,-881119579.8,-1090242100,-1518806055,750900785.2,3193376577,4254235338,4607242642,5117123661,8076693070,6391475659,8679572971,9948972034,12054111826,13259881970,11359195081,15198251494,16878780533,15315705306,15651844019,16928598356,10829928730,2436871174,17141795275
Germany,,,,,,,,,,,-3162513226,-4336130597,-4909821505,-4000794731,-2193463835,-8334008268,-11645608203,-12957768887,-14221404090,-31634161776,-43964356574,-31452268282,-20687120174,-23185607813,-20362746203,-15052044247,-4040852923,-4398411317,-5073354494,-8860353688,-3700909091,-9442545669,-10812773951,179817816.2,2562371942,9254810973,16562256304,22686668171,26183172169,11966537957,3259428685,30705762723,85110145458,91785747701,1.41587E+11,1.43315E+11,1.5779E+11,2.22623E+11,2.20288E+11,1.65923E+11,1.77011E+11,1.85606E+11,2.1721E+11,2.19838E+11,2.59262E+11,2.53944E+11,2.56951E+11,2.66627E+11,2.42599E+11,2.23141E+11,2.10605E+11,2.24309E+11,1.03961E+11,1.81281E+11
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-713349981.2,384928046.8,544982877.1,-144417373.3,-159435294.6,374120109.6,385998278.2,268032477.9,745691280.2,-80581101.84,-184056001.8
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54425925.93,-88492592.59,-130588888.9,-116514814.8,-88874074.07,-76533333.33,-91514814.81,-50196296.3,-65885185.19,-71048148.15,-72144444.44,-108881481.5,-269474074.1,,,,,
Denmark,,,,,,,-187645109.5,-270556117.7,-186974933.3,-319982800,-483691866.7,-386545655.3,-94879915.96,-581911562.9,-1143884067,-388447495.7,-2020047974,-1775971982,-1337915352,-1676045809,-320246810.6,870459331.2,548925399.6,1340001422,991092153.8,485594919,-175304288.7,2248163385,4016785709,4265975486,7681178619,8657585867,10561574030,10779047024,9249913530,8712549443,10626560608,7561486865,5440736927,10677333649,11016003637,11766787980,12240052060,14819865203,14200323981,14189367006,11162216318,8797215681,12323209235,14850039732,21899620827,21190297384,18952023931,21467084047,22778690297,19609141789,18840555435,21475852176,18307383851,20757733136,20058876942,25469747704,38401030289,33180919663
Dominican Republic,45600000,45200000,-2600000,-49400000,-85500000,-35200000,-88500000,-71700000,-88000000,-93900000,-148202996,-161581307,-66911844,-103485083,-273656091,-120799453,-271896894,-330404627,-512232530,-535639740,-927883259,-558638062,-677524940,-680931863,-959594946,-235636161.1,-217152268.7,-408212948.6,-128396698.1,-543575394.3,-564266946.6,-288360635.9,-795816000,-683384000,-694281742.3,-573076923.1,-523365178.8,-758393539.4,-1580236999,-1403580678,-2018532570,-1722830595,-1974320078,-30715015.32,210618498.8,-1785759101,-2771534625,-3703292633,-6534365997,-4126528034,-5735265232,-6160275544,-5596244278,-3978711617,-3489086483,-3307679322,-2851954740,-2288579900,-4237647260,-4333740277,-6072822185,-8698162039,-11474157362,-8911362526
Algeria,-765348446.2,-517608090.6,-20510283.45,-328164535.2,-126721206.5,-101274847.8,40509939.11,60764908.67,-40509939.11,-182294786.8,-344334543.2,-468180171.2,-357101806.4,-529969047.3,430545117.5,-1443254204,-720491495.2,-2339177208,-3857888449,-570943669.4,1693833066,1645114472,871043283.9,1044102802,-943135164.4,-1829825550,-6571229226,-2763033271,-4192895866,-5493813611,-926597363.9,2522617373,696095511.7,-676792325.8,-1498790716,-1170007106,2730002864,4609976585,30000489.62,2612547339,11659995021,8147248966,5957664162,9970802368,14180370410,23445463437,31525542339,31196364969,36556358659,1333701926,11529793187,21300645647,18189545505,5622451757,-4025154588,-22777389612,-23115278741,-17380666509,-10875510422,-11009709489,-15365137785,96235573.55,23501557009,8805978887
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,-16897127.5,-20944004.05,-8394020.736,-13201932.73,-27926249.67,-31289987.9,-15272315.44,-49141538.8,-74264572.73,-112019657.4,-102156933.2,-168274603.5,-100108952.2,47418713.56,257353272.2,-252304854,-176622602.2,-202493994.6,-456853833,-37340886.28,-130348436.9,-148221998.3,-617817934.8,41716982.43,286589276.3,625158450.9,-283586838.1,-975977493.2,-606990748.6,-631599536.2,142309166.1,365682841.4,626230115.1,-587012506.3,-730790395.2,-815438719.4,83465732.87,-548409204.6,-2129759880,698160080,1700945473,-211432000,-911134000,410600000,747833000,1327650000,2540870000,3047891000,3645320000,764355000,-549296000,1730641000,2333658000,1272056000,1318585000,-2254356000,531421000,-675433000,-990533000,15515000,2471232000,922030000,-56508000,336311000
"Egypt, Arab Rep.",-82413950.05,-94187371.48,-180227393.3,-244029773.8,-304979717.3,-148536478.8,-219080509.4,-128261831,-335981308.4,-200968523,-283597086.2,-390971690.9,-433815925.5,-467155128.9,-1008726366,-2021481806,-1431578947,-1408349412,-2078532444,-2969571429,-2677048663,-2775135135,-3190147783,-3492433062,-3870135455,-3769238823,-3461178672,-4084838963,-6246450880,-5782734407,-5248990579,-2957793287,-1053170042,-1980792317,-2846975089,-3096431731,-3685141509,-4749262537,-8057851240,-7490415807,-6605019815,-4690026954,-3707865169,-2076923077,-1071428571,-2029950083,-1739130435,-5971978984,-9109090909,-12558983666,-11470054446,-9724612737,-22100000000,-18279069767,-25767575323,-27924528302,-31766871166,-31800271739,-26105796286,-24971526196,-27560823456,-37093690249,-32462006079,-8863448111
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-159972072.5,-191578061.7,-291590909.1,-349968750,-403291015.8,-385705357,-486517937.6,-531779119.7,-342873246.8,-379561211.3,-386743256.3,-531923316,-599112181.3,-535752294.9,-381053658.5,-303343089.4,-299548403.3,-351191993.5,-392844169.1,-228887167.5,,,,,,,,,,,,
Spain,,,,,,,,,,,-634228666.5,68340119.76,-288646130,-1140005711,-5167078166,-4959394203,-5842516787,-3503969332,78546006.94,-885949429.8,-6898052913,-5669717066,-5009245797,-2730429234,1872076175,1600854207,2681646667,-2712726048,-7858501643,-17259685172,-22235288932,-22740254604,-22619393792,-7943935155,-5306615327,-6745396317,-973335084.7,1209090909,-2663993763,-12163706600,-17606826022,-14189458605,-13991654416,-20017014300,-39615800979,-55631984710,-72139174807,-85367077063,-77429392408,-12958923482,-14818860900,3942017276,27224671957,52337147571,41951397767,36369832555,49290395615,48023876493,39230127861,41892975106,19552112993,14460183031,12768214737,63617520965
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-155419423.1,-410176133,-328031471.3,-498652620.6,-530215284,-542983646.7,-252396720.6,-184292822.3,-247250022.4,-545705943.3,-834581075,-949754037.3,-715041661.5,-1720959729,-1973380783,-950430643,974584606.8,1253486958,1350033737,381119711.6,587050751.3,872688179.7,830312847.8,787792907.5,1092039070,723042941.5,1174917604,-344789028.4,-484514299,-474451063.9,353519696.5
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4747934243,-7736727470,-7863700019,-9708696234,-13518221549,-14320617246,-12956510387,-12180289240,-12406629383,-10498471943,-10104399259,-12813647916,-12112674624
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,-190948471.1,-288914464.3,-71366504.16,-252992064.7,-957450764.1,-1787619202,-692414217.6,439722591.1,1122021661,464051289.9,-698119222.2,512537889.2,91279141.48,-5337318.531,1254451919,374136607.8,964109781.8,474773434.3,-378109452.7,-2175419149,-2190950086,-1213056903,953013007.7,4101176226,5829254411,10005446623,9139269997,9307066774,10603026257,12131733306,11552545763,11983523079,12595042024,11304816959,12383047562,8128885840,9041567128,12291817534,10330586413,5167668873,3404440400,-2149178911,-4017534177,-2661548551,-2777895140,-929771802.3,-2520418388,999767841.2,-2314670839,1795637114,659047154.9,159669941.9,-5437943167,877990125.5
Fiji,,,,,,,,,,,,,,,,,,,,,-40804924.42,-178023863,-76396671.56,-60962419.62,-12562384.71,-4334430.811,28246941.83,38268033.81,56073799.27,27370792.67,-64352410.82,-44186673.79,-45908458.53,-115645927.6,-55323145.22,-69969203.6,85227677.62,54444386.72,41423039.97,-7717205.052,-85970990.66,-133664060,-44949471.86,-194063830.6,-452798615.1,-286272520.1,-550196395.6,-445444948.1,-590073414.1,-286956077.1,-199686318.9,-223549934,-121683251.5,-528000078.2,-298408611,-164614350.5,-191292674.5,-267166616.3,-431881114.1,-571099795.3,-739531677.6,-1171767281,-1051463905,
France,1712316702,1650836590,1125098132,809740355.2,417811785.6,1468433059,932101362,749453361.4,558791010.5,-182069747.2,1326717846,2241746182,2417867360,2887137596,-1685896072,5217833869,-1791439497,1268579834,7241133721,4816373728,-8643123254,-7579843090,-13723325681,-632756691.6,2161975531,-286173164,2015437068,-7038415366,-3842638476,-4238741518,-7657631611,-1575747006,12888475836,25065323141,24247400756,31069260087,34112706757,50108338953,46166110740,40790461990,23545285267,26968658956,34756831657,30738831193,27985189929,11054488524,-314778625.1,-11565875316,-22878042543,-11805159462,-24731111845,-43858143696,-25424169112,-17928929470,-20476182589,-2874747900,-8555918301,-19990725131,-26878288452,-17694302155,-45662030726,-35964530801,-77815660944,-61021178736
Faroe Islands,,,,,,-2099276.98,-7427097.178,-1264995.77,-7640000,-6973333.333,3013333.333,-3020121.56,-518038.3843,9769402.43,-24758404.57,-32578335.06,-26153737.99,-8112350.896,-38298161.71,-55085024.44,-43435507.32,-47758314.29,-52829650.66,-69469716.32,-100370855.6,-65022132.06,-103695566.6,-119585101.1,-125380207.3,4377460.184,84349213.5,137107130.2,108844520.2,113357019.6,86470482.44,51942330.8,9140023.785,-1362715.705,18684260.91,-33470752.15,-84026710.4,-20618019.12,-6320684.955,-220973324,-103704571.7,-296886229.7,-278352412,-356614002.1,-287497516.2,-219125003.5,-87143219.11,-24493770.57,-292223912.5,-85447532.12,19991208.86,21165572,127159218.5,163640392.2,-39479816.6,95270267.53,-44771200.67,17480201.17,-4140668.544,42977181.72
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,-86200000,,,,,,,,,,,,-122052900,-142594500,-144879000,-139530200,-136079600,-127475200,-137954400,-130107400,-140544100,-150535500,-147885500,-149993900,-137921800,-164855500,-182307500,-173513200,-178924000,-168805800,-166431300,-134742400,-161936700,-150604600,-150708600,-120185800,-166508800,-189475200,-184881300,-183867900,-184880700
Gabon,2183965.739,-756246.5256,1728995.313,2640581.73,12812220.87,13466038.61,407076.8327,0,-2423568.524,1923368.58,37987991.43,53384983.81,3571314.823,8524505.202,220602286,34995560.23,-15484378.95,9361783.337,354522147.1,638863058.1,1416133236,875496735.4,793350697.4,603045084.8,672835598.8,176733909.8,-664152696.6,-82851816.21,-194058571.8,192471481.8,903532189.4,755975457.9,686872184.2,623790118.8,981682381.3,1172236492,1688601108,1282258477,-52100868.75,1002242816,1847387023,1251388431,1091564887,1533960939,2199809097,3456294158,3355872905,3976355882,5512343179,2524360054,3761210151,6007647342,5075224108,4237015865,2825520671,2605390020,2515509165,3789815687,5323590547,4966822124,3848586285,7103220942,8808773336,6975560021
United Kingdom,,,,,,,,,,,1393544516,2351384765,199028471.5,-4007070064,-9350668537,-3438900442,-1884327044,2714946799,5467091083,2950006353,14017848013,16845269293,11285466457,6136077005,1166687949,6959366016,-1912777778,-4902216048,-27468694415,-31454960733,-17379332386,-1420876543,-5409350649,-892751949.6,3076426385,7601388670,6794071763,8813032089,-7891685989,-17228603786,-20021183235,-28497193033,-42123800959,-43688163265,-55867813988,-54365454545,-51194112236,-59993997599,-49409926471,-29950147998,-38755872189,-21049736290,-26768944957,-39552226424,-59528116452,-44259720573,-50977914006,-35939390766,-39694142046,-39793470661,15060264583,-7040636517,-54375578332,-18713824619
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,51501591.99,-361242700.7,-248087856.1,-413520099.6,-231788079.5,-1130348751,-671551677.3,-1291083870,-453217353.1,-589403825.2,-931432909.4,-746158307.2,-533144201.8,-509756438.1,-463834112.3,-447241964.3,-587607484.9,-860183639.4,-1154702305,-1873083682,-2721952574,-3809317463,-2056765482,-2080072231,-2745169597,-3117981745,-2090018938,-2980009707,-2548739458,-2305510949,-1784232661,-1872007970,-1622985138,-3056544715,-3064043249,-2432917187,-2652144243
Ghana,-88245680.07,-134469607.7,-58830453.38,-96650030.56,-68635528.95,-197502236.4,-106455106.1,-44144368.69,-7844280.083,-11766420.12,-30396585.32,-108286464.3,116307445.3,152013058.1,-100621118,26063829.79,-9322033.898,-33428571.43,-48691099.48,2849002.849,-30601659.75,-23953488.37,14379084.97,-17570546.74,-120303326.8,-132195378.2,-204161058.8,-331027210.9,-305562697.8,-399173615,-528394039.7,-565315670.6,-740526496.5,-964654468.1,-626545496.4,-544960555.1,-553292937.2,-1418345573,-961957640.8,-1354406829,-919032737,-1040642603,-755774800.4,-1215821146,-1870753812,-2715483386,-3175919428,-4047884399,-5579663206,-3389200672,-5288265245,-4886494040,-5138161192,-6205663008,-4039041661,-4376315833,-3083747321,-1688113456,-705781596.7,-1315917991,-2468779536,-2065719999,-584726476,-735501181.1
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,60244298.36,18937368.71,-100187392.9,31802008.82,-63109922.82,-7679508.425,-39371622.97,-51330033.5,-105220379.9,-125828692.6,-199250768.5,-124593273.5,-202286319.7,-152089168.4,-132813500.6,-40732113.5,-73537063.7,26584048.74,-43271685.71,-9557811.27,-917334333.6,-1508861494,-1455744770,-1664702288,-881640972.1,-1407928909,-1558126171,-2302329342,-2053718926,-2589803309,-4564146397,-1231839977,-1016138073,-1119953634,-3074945217,-470811655.6,-662613853.5,-1645376312
"Gambia, The",,,,,,,-3274662.025,-3113799.601,-4528807.246,-4832455.732,-1630226.608,-2682811.917,-4130996.691,-5472493.326,-4543092.721,1260035.707,-5943909.999,-14888668.61,-45031871.11,-58603877.54,-50295383.51,-49870161.85,-33063887.03,-25600939.9,-24232308.74,-22689486.1,-17588506.87,-21773224.58,-21567289.36,-29029813.48,-37035194.35,-36069496.65,-44695676.51,-62259854.41,-55515582.66,-92162413.76,-62405410.21,-19713873.31,-27391727.97,-29481403.05,-37286048.03,-22599772.37,-30809428.24,-32491422.87,-84115651.63,-104950290.7,-87544504.91,-105293065.1,-158342852.4,-149149758.2,-180208778,-125757259,-113445297.2,-103220102.1,-179306417.3,-184409345.6,-187098780.6,-282503259.2,-338078795.1,-284122436.6,-510673968.6,-581352976.5,-608114733.9,-556544953.9
Guinea-Bissau,,,,,,,,,,,-53600629.78,-61564279.37,-71301752.03,-80541464.41,-87892434.21,-58820688.86,-66209780.69,-69630666.18,-90300809.8,-105552110,-83861938.24,-98648733.33,-143908315.3,-111598540.3,-136361351.6,-179319176.9,-90047060.31,-124673531.7,-165564746.7,-206662305.4,-171855389.3,-185892632.8,-265971067.4,-146847576.7,-109362023.7,-154988091.2,-149811456.9,-416660915.5,-208571469.6,-187955428.9,-103909211.1,-113157865.2,-78254287.92,-78447013.66,-100864664.4,-119373418.5,-177773070,-180788671.7,-205830851,-189954083,-171436631,-115953525.1,-166798938.5,-150124766.2,-153047877,-49286913.81,-84057590.31,-56520483.06,-62802422.08,-213600695.7,-203707176.7,-185693965.4,-303267427.7,-292243390
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600053595,4651757606,5641596706,9827684040,3978209448,4380206414,7648765007,6074978938,6236398755,5995811748,1903839190,1149364742,1866489970,2040958194,838980645.7,372305786,1623301272,3301617589,1451065080
Greece,-175656617.7,-200440500.1,-300087154.3,-326245394.9,-553627860.5,-659771481.1,-480389330.2,-516383887,-701763237.7,-835632548.8,-874897727.3,-923386363.6,-1070897727,-1692255466,-1557784091,-1752061637,-1838339552,-2108233117,-2220936920,-2369871205,-2790655476,-1750645756,-3496831633,-3547128483,-3019446796,-3391174439,-3508804771,-3334969804,-4583374970,-6197673101,-9259318573,-9591977940,-9333489453,-8632508918,-7404841292,-9969235182,-11676928086,-9294399101,-13288436527,-12813831299,-13946980817,-13915630625,-13954269268,-19983183555,-20223980839,-20282967283,-25709429314,-34657059799,-40504309988,-29147253654,-22127136517,-16081097570,-10658646650,-5441570543,-3283113360,-1749250257,-2508121801,-2652977165,-4215236437,-3046392399,-14147326670,-16354969673,-21098857240,-11541266701
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-182462001.4,-174576873.5,-325317538.5,-283598950.6,-507614213.2,-835070734.7,-614658039.5,-1060352147,-1464429457,-677326932.4,-550681657.3,-288268955.5,-198471827.9,-116612133.8,-80495019.38,-26509912.95,-302888680.3,-332841548.2,-462072178.4,,
Guatemala,-19800000,-16600000,-18700000,-20800000,-35100000,-37600000,-2700000,-48000000,-27100000,6400000,15100000,-28000000,7800000,17400000,-103000000,-66000000,-262400000,-98700100,-351300100,-310800000,-215300000,-560499900,-340000000,-140999900,-203500000,-100695565.2,105570776.3,-456599960,-457366450.4,-434552556.8,-291812442.8,-340035952.3,-963712352.3,-954508165.7,-951801197.7,-904435170.2,-748115757.2,-1003310355,-1567257913,-1529708069,-1688845868,-2455612818,-2791095734,-3158808057,-3625257837,-4337274363,-5125605018,-5720072253,-5748620323,-3454600723,-4341925329,-5114940803,-5666222525,-6724671349,-6707698798,-6363896711,-5856663943,-6505679212,-7826357767,-7943184896,-6570043048,-12105359985,-15814908294,-15735909653
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-894000000,-1023000000,-939000000,-887000000,-1074000000,-1484000000,-1700000000,-1801000000,-1873000000,-2021000000,-2033000000,-2188000000,-2282000000,-2041000000,-1917000000,-1883000000,-2085000000,-2133000000,-3009000000,-3469000000,-3876000000,
Guyana,-13999965,-1691662.438,22924942.69,29516592.88,6999982.5,-5117647.059,-11823529.41,-5882352.941,7100000,9500000,-1450000,10500000,-3714285.714,-51285714.29,8363636.364,-125000,-113280000,-70000000,-80000,-49960000,-74520040,-133392892.9,-83400000,-91500000,-31500000,-62558139.53,-34860465.12,-39693877.55,-17800020,-27316180.15,-68025316.46,-62666360.47,-87700812.15,-75945067.59,-65791449.75,-67794826.06,-42993888.18,-73539436.52,-85938088.21,-55874776.12,-104102421.8,-98481606.15,-87997744.74,-72887898.72,-75629711.94,-207086428.5,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,-105052154.9,-134006459,-137718549.3,-169085712.2,-83769633.51,-88038911.46,125271857.3,146258894.7,281442825.3,292796868.1,188058850.2,453609438.9,506946468.5,449957796.6,561885747.7,1375183494,1027027027,185751890.6,291244650.1,-149113268.4,-471433711.3,182210069.8,539836180,2681760041,3583993839,3739299604,5271695573,5329490136,7885340318,6568118361,6048898447,5422330592,8119362173,1571602568,-6481913454,-2371398715,-5954340712,905448481,8561650016,7568699272,7945760539,13569191722,14681734999,14729840781,22181639901,21601777484,22588716896,22308427573,16851033638,13431684504,9568088386,2969283369,1654461062,597362705.6,7392008256,7325324487,3443899810,-773234675,5660728668,6654849688,20546489564,14676781992,2745995540
Honduras,-5500000,1400000,1600000,-10800000,-10400000,2300000,-8000000,-12100000,-7800000,-19300000,-44800000,-6000000,8499961.75,-7999996,-123500000,-101000000,-60000000,-74000000,-274018921.5,-311435481,-480205729.5,-460411070.5,-227475749.5,-320492544.5,-514098054.5,-468932829,-318356074.5,-390839371.5,-387270209.4,-422817407.2,-372965197.5,-323024394.8,-466657851.2,-532196421.2,-524151829,-298314014.6,-309357516.9,-277851406.8,-411097038.4,-915236759.6,-894578227,-1008398040,-985133714.3,-1157211310,-1651090283,-1802909059,-2295132184,-3467655636,-4594631396,-2603066403,-2839048219,-3489195144,-3591318950,-3778212390,-3526499395,-3552065545,-3124622017,-3615131619,-4967951775,-4733109550,-3794872329,-6935283036,-8742775528,-8232843110
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1865252362,-1555254786,-3093383603,-1737603239,-1424126204,-978924375.6,-1193195411,-2509313589,-3648115591,-3564887309,-3910304133,-4178048346,-4939315792,-6935689555,-3427101928,-967151784.8,-1056717025,-920734109.3,-1185008533,-227832327.4,107131976.1,580418496.7,340089201.1,-523807071.8,-248048263.9,-4045490078,-1897010844,-4428494274,-1546601421
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-422779000,-397639000,-699590800,-666389068.6,-392620180.2,-508284889.6,-396495780.3,-550866189.6,-510796123.3,-533863384.1,-622630885.9,-724835782.9,-847441453.4,-855979988.6,-767714159.4,-946043663.8,-1036735042,-1247885743,-1452485946,-1605337258,-1936593442,-1770197614,-3270910853,-3121753286,-2871753137,-2876171097,-3090245157,-2733853011,-2561587778,-3028875613,-3867527862,-3521779652,-2967001039,-4778902865,-4466319356,-4018610656
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-286808296,-82107413.38,-2879967248,-2442687866,-3595385.498,220869498,455053075.9,-764466886.2,-1343856817,-1742747162,-693604433,-1383388020,-3360777899,-4499881132,-3150326306,-1674937022,197494034.1,57851426.94,4520066798,6277925565,8122235209,7870725035,8786284897,8253775768,9679038422,10810361486,9460592737,6824231621,3785818482,3031734110,353297834.6,-7859733626,10857608814
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,-458608285.8,-333117339.2,-484662576.7,-273972602.7,-207411919.3,-261686747,93253012.05,1955180723,174939759,500000000,1562891566,524601303.7,3328732396,6011898212,1781847509,-3532551269,-865978918.4,3834824869,2419636586,-14658182.96,1654773878,2384647397,2921595781,1825255936,2172617938,4080850477,4718460796,2026749971,-2696966882,-1399777996,-594112855.5,9306014193,11318192667,17356482696,13270680432,12318361644,17229518703,11999661267,11853826412,19731671212,17471008752,5383772873,15141253737,14322535350,22098243865,-3617699112,-7210947472,-6665132938,3294646496,7051011915,10147166714,-11139964498,-4976882676,17899733716,31185663098,46716269478,29857207586
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
