Country Name,Year,CPI,GDP,Trade Imbalance,Real Effective Exchange Rate
QA,2013,91.71279635445532,198728000000.0,85557142857.0,
SA,2013,93.1975,753865000000.0,157743000000.0,101.5628916
SY,2013,292.2264188772368,21361254635.0,-6226638860.0,
AE,2013,90.97743818,2858380000000.0,,
AE,2013,90.97743818,2858380000000.0,,
AE,2013,90.97743818,2858380000000.0,139735000000.0,
AE,2013,90.97743818,2858380000000.0,139735000000.0,
AE,2013,90.97743818,400219000000.0,,
AE,2013,90.97743818,400219000000.0,,
AE,2013,90.97743818,400219000000.0,139735000000.0,
AE,2013,90.97743818,400219000000.0,139735000000.0,
EG,2013,45.99372853723832,288434000000.0,-18279069767.0,
BQ,2013,97.10541858,13515500000.0,-4734700000.0,
AF,2013,97.41722225318532,20146416758.0,,
BD,2013,61.19400706062615,149999000000.0,-10830906475.0,
BT,2013,60.96439365,1943696952.0,-392312028.7,
BN,2013,100.5939384835521,18094148099.0,4550431445.0,
MM,2013,104.2032775,60269732855.0,,
KH,2013,152.4111666666666,19807135253.0,-2306822403.0,
LK,2013,81.10722774327122,77000578167.0,,
IN,2013,110.0166666666667,1856720000000.0,-55375035766.0,
ID,2013,106.4125,912524000000.0,-7210947472.0,
TL,2013,96.91329862754378,1395727400.0,-955583900.0,
KR,2013,93.00991666666668,1370630000000.0,63488229264.0,119.0269394
BO,2013,83.68833333333332,30659338886.0,2132066223.0,112.2711481
MY,2013,107.1166666666667,323276000000.0,27598385101.0,99.01485854
NP,2013,88.70924886,22162204925.0,-5158487757.0,
PK,2013,89.37894449681278,258657000000.0,-16903965151.0,100.8821951
PW,2013,95.4195152,225345718.8,-69431700.0,
PH,2013,87.41042944785278,283903000000.0,-9851262393.0,107.5974208
SG,2013,98.47358333333332,307576000000.0,71092623671.0,112.0566119
TH,2013,96.47444896867616,420334000000.0,7902306215.0,
VN,2013,84.20595690847432,213709000000.0,5886688540.0,
DJ,2013,85.93253186062782,2042817163.0,-713349981.2,
DZ,2013,160.1,229701000000.0,5622451757.0,101.7984329
AO,2013,26.51474599286455,132339000000.0,19430344046.0,
BW,2013,83.61499068901306,14271738933.0,-431508369.9,
CM,2013,81.70802952,33728621180.0,-808245361.2,98.94622122
BI,2013,85.09217967565326,2451606632.0,-696588891.8,100.6335098
CV,2013,99.49653762868542,2028910915.0,-225943230.3,
CF,2013,74.62315077251088,1691544110.0,-142992617.5,105.1909067
CF,2013,74.62315077251088,1691544110.0,-142992617.5,
CF,2013,74.62315077251088,1691544110.0,-142992617.5,
CF,2013,74.62315077251088,1691544110.0,-142992617.5,101.3997354
CF,2013,74.62315077251088,1691544110.0,-142992617.5,
CF,2013,74.62315077251088,1691544110.0,,105.1909067
CF,2013,74.62315077251088,1691544110.0,,
CF,2013,74.62315077251088,1691544110.0,,
CF,2013,74.62315077251088,1691544110.0,,101.3997354
CF,2013,74.62315077251088,1691544110.0,,
CF,2013,74.62315077251088,1691544110.0,-3632783882.0,105.1909067
CF,2013,74.62315077251088,1691544110.0,-3632783882.0,
CF,2013,74.62315077251088,1691544110.0,-3632783882.0,
CF,2013,74.62315077251088,1691544110.0,-3632783882.0,101.3997354
CF,2013,74.62315077251088,1691544110.0,-3632783882.0,
CF,2013,74.62315077251088,1691544110.0,4812877978.0,105.1909067
CF,2013,74.62315077251088,1691544110.0,4812877978.0,
CF,2013,74.62315077251088,1691544110.0,4812877978.0,
CF,2013,74.62315077251088,1691544110.0,4812877978.0,101.3997354
CF,2013,74.62315077251088,1691544110.0,4812877978.0,
CF,2013,74.62315077251088,1691544110.0,,105.1909067
CF,2013,74.62315077251088,1691544110.0,,
CF,2013,74.62315077251088,1691544110.0,,
CF,2013,74.62315077251088,1691544110.0,,101.3997354
CF,2013,74.62315077251088,1691544110.0,,
CF,2013,74.62315077251088,1804350000000.0,-142992617.5,105.1909067
CF,2013,74.62315077251088,1804350000000.0,-142992617.5,
CF,2013,74.62315077251088,1804350000000.0,-142992617.5,
CF,2013,74.62315077251088,1804350000000.0,-142992617.5,101.3997354
CF,2013,74.62315077251088,1804350000000.0,-142992617.5,
CF,2013,74.62315077251088,1804350000000.0,,105.1909067
CF,2013,74.62315077251088,1804350000000.0,,
CF,2013,74.62315077251088,1804350000000.0,,
CF,2013,74.62315077251088,1804350000000.0,,101.3997354
CF,2013,74.62315077251088,1804350000000.0,,
CF,2013,74.62315077251088,1804350000000.0,-3632783882.0,105.1909067
CF,2013,74.62315077251088,1804350000000.0,-3632783882.0,
CF,2013,74.62315077251088,1804350000000.0,-3632783882.0,
CF,2013,74.62315077251088,1804350000000.0,-3632783882.0,101.3997354
CF,2013,74.62315077251088,1804350000000.0,-3632783882.0,
CF,2013,74.62315077251088,1804350000000.0,4812877978.0,105.1909067
CF,2013,74.62315077251088,1804350000000.0,4812877978.0,
CF,2013,74.62315077251088,1804350000000.0,4812877978.0,
CF,2013,74.62315077251088,1804350000000.0,4812877978.0,101.3997354
CF,2013,74.62315077251088,1804350000000.0,4812877978.0,
CF,2013,74.62315077251088,1804350000000.0,,105.1909067
CF,2013,74.62315077251088,1804350000000.0,,
CF,2013,74.62315077251088,1804350000000.0,,
CF,2013,74.62315077251088,1804350000000.0,,101.3997354
CF,2013,74.62315077251088,1804350000000.0,,
CF,2013,74.62315077251088,7335033801.0,-142992617.5,105.1909067
CF,2013,74.62315077251088,7335033801.0,-142992617.5,
CF,2013,74.62315077251088,7335033801.0,-142992617.5,
CF,2013,74.62315077251088,7335033801.0,-142992617.5,101.3997354
CF,2013,74.62315077251088,7335033801.0,-142992617.5,
CF,2013,74.62315077251088,7335033801.0,,105.1909067
CF,2013,74.62315077251088,7335033801.0,,
CF,2013,74.62315077251088,7335033801.0,,
CF,2013,74.62315077251088,7335033801.0,,101.3997354
CF,2013,74.62315077251088,7335033801.0,,
CF,2013,74.62315077251088,7335033801.0,-3632783882.0,105.1909067
CF,2013,74.62315077251088,7335033801.0,-3632783882.0,
CF,2013,74.62315077251088,7335033801.0,-3632783882.0,
CF,2013,74.62315077251088,7335033801.0,-3632783882.0,101.3997354
CF,2013,74.62315077251088,7335033801.0,-3632783882.0,
CF,2013,74.62315077251088,7335033801.0,4812877978.0,105.1909067
CF,2013,74.62315077251088,7335033801.0,4812877978.0,
CF,2013,74.62315077251088,7335033801.0,4812877978.0,
CF,2013,74.62315077251088,7335033801.0,4812877978.0,101.3997354
CF,2013,74.62315077251088,7335033801.0,4812877978.0,
CF,2013,74.62315077251088,7335033801.0,,105.1909067
CF,2013,74.62315077251088,7335033801.0,,
CF,2013,74.62315077251088,7335033801.0,,
CF,2013,74.62315077251088,7335033801.0,,101.3997354
CF,2013,74.62315077251088,7335033801.0,,
CF,2013,74.62315077251088,99134277850.0,-142992617.5,105.1909067
CF,2013,74.62315077251088,99134277850.0,-142992617.5,
CF,2013,74.62315077251088,99134277850.0,-142992617.5,
CF,2013,74.62315077251088,99134277850.0,-142992617.5,101.3997354
CF,2013,74.62315077251088,99134277850.0,-142992617.5,
CF,2013,74.62315077251088,99134277850.0,,105.1909067
CF,2013,74.62315077251088,99134277850.0,,
CF,2013,74.62315077251088,99134277850.0,,
CF,2013,74.62315077251088,99134277850.0,,101.3997354
CF,2013,74.62315077251088,99134277850.0,,
CF,2013,74.62315077251088,99134277850.0,-3632783882.0,105.1909067
CF,2013,74.62315077251088,99134277850.0,-3632783882.0,
CF,2013,74.62315077251088,99134277850.0,-3632783882.0,
CF,2013,74.62315077251088,99134277850.0,-3632783882.0,101.3997354
CF,2013,74.62315077251088,99134277850.0,-3632783882.0,
CF,2013,74.62315077251088,99134277850.0,4812877978.0,105.1909067
CF,2013,74.62315077251088,99134277850.0,4812877978.0,
CF,2013,74.62315077251088,99134277850.0,4812877978.0,
CF,2013,74.62315077251088,99134277850.0,4812877978.0,101.3997354
CF,2013,74.62315077251088,99134277850.0,4812877978.0,
CF,2013,74.62315077251088,99134277850.0,,105.1909067
CF,2013,74.62315077251088,99134277850.0,,
CF,2013,74.62315077251088,99134277850.0,,
CF,2013,74.62315077251088,99134277850.0,,101.3997354
CF,2013,74.62315077251088,99134277850.0,,
CF,2013,74.62315077251088,4920500000000.0,-142992617.5,105.1909067
CF,2013,74.62315077251088,4920500000000.0,-142992617.5,
CF,2013,74.62315077251088,4920500000000.0,-142992617.5,
CF,2013,74.62315077251088,4920500000000.0,-142992617.5,101.3997354
CF,2013,74.62315077251088,4920500000000.0,-142992617.5,
CF,2013,74.62315077251088,4920500000000.0,,105.1909067
CF,2013,74.62315077251088,4920500000000.0,,
CF,2013,74.62315077251088,4920500000000.0,,
CF,2013,74.62315077251088,4920500000000.0,,101.3997354
CF,2013,74.62315077251088,4920500000000.0,,
CF,2013,74.62315077251088,4920500000000.0,-3632783882.0,105.1909067
CF,2013,74.62315077251088,4920500000000.0,-3632783882.0,
CF,2013,74.62315077251088,4920500000000.0,-3632783882.0,
CF,2013,74.62315077251088,4920500000000.0,-3632783882.0,101.3997354
CF,2013,74.62315077251088,4920500000000.0,-3632783882.0,
CF,2013,74.62315077251088,4920500000000.0,4812877978.0,105.1909067
CF,2013,74.62315077251088,4920500000000.0,4812877978.0,
CF,2013,74.62315077251088,4920500000000.0,4812877978.0,
CF,2013,74.62315077251088,4920500000000.0,4812877978.0,101.3997354
CF,2013,74.62315077251088,4920500000000.0,4812877978.0,
CF,2013,74.62315077251088,4920500000000.0,,105.1909067
CF,2013,74.62315077251088,4920500000000.0,,
CF,2013,74.62315077251088,4920500000000.0,,
CF,2013,74.62315077251088,4920500000000.0,,101.3997354
CF,2013,74.62315077251088,4920500000000.0,,
TD,2013,84.49651286892365,12953534866.0,-714741393.1,
BJ,2013,100.5517855,12517845128.0,-508106994.0,
GN,2013,124.5166666666667,8376613539.0,-2302329342.0,
ET,2013,78.94395692,47648276605.0,-7863700019.0,
GA,2013,85.83581950925098,17595744798.0,4237015865.0,95.81577303
GM,2013,64.64778372207365,1375609453.0,-103220102.1,81.46141238
GW,2013,100.8338786101083,1109682824.0,-150124766.2,
GH,2013,40.64958439306718,62824629066.0,-6205663008.0,88.4925197
GN,2013,59.49823072774348,8376613539.0,-2302329342.0,
CI,2013,101.4305652556488,42760235485.0,-13629370.77,100.4620927
KE,2013,71.56464706,61671440408.0,-7326740668.0,
LS,2013,62.17895019527618,2367112932.0,-1346086235.0,86.34013164
LR,2013,49.89032889,3177198100.0,,
MG,2013,82.76658694336355,12423555455.0,-1220396866.0,
ML,2013,99.93772665,13242690786.0,-1978005150.0,
MR,2013,85.51373339735741,7223071097.0,-816324463.7,
MU,2013,69.20561931715615,12292974141.0,-1003473527.0,
MA,2013,95.38799032,115739000000.0,-15452612955.0,97.01119545
MZ,2013,49.70788835283422,17198073057.0,-9183386130.0,
ZW,2013,2.081829116945108,19091020000.0,-2802748200.0,
RW,2013,99.48712551,7819963716.0,-1228392808.0,
AG,2013,87.745,1325425926.0,,99.96501576
AG,2013,87.745,1325425926.0,,
AG,2013,87.745,1325425926.0,,
AG,2013,87.745,1325425926.0,,99.96501576
AG,2013,87.745,1325425926.0,,
AG,2013,87.745,1325425926.0,,
AG,2013,87.745,1325425926.0,,99.96501576
AG,2013,87.745,1325425926.0,,
AG,2013,87.745,1325425926.0,,
AG,2013,87.745,1420300000000.0,,99.96501576
AG,2013,87.745,1420300000000.0,,
AG,2013,87.745,1420300000000.0,,
AG,2013,87.745,1420300000000.0,,99.96501576
AG,2013,87.745,1420300000000.0,,
AG,2013,87.745,1420300000000.0,,
AG,2013,87.745,1420300000000.0,,99.96501576
AG,2013,87.745,1420300000000.0,,
AG,2013,87.745,1420300000000.0,,
AG,2013,87.745,1934770000000.0,,99.96501576
AG,2013,87.745,1934770000000.0,,
AG,2013,87.745,1934770000000.0,,
AG,2013,87.745,1934770000000.0,,99.96501576
AG,2013,87.745,1934770000000.0,,
AG,2013,87.745,1934770000000.0,,
AG,2013,87.745,1934770000000.0,,99.96501576
AG,2013,87.745,1934770000000.0,,
AG,2013,87.745,1934770000000.0,,
